hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_stay_nights,total_guests,total_revenue
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,7/5/2015,4,2,388.0
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,0,0,Transient,154.77,0,1,Check-Out,7/5/2015,4,3,619.08
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,7/5/2015,4,2,378.84
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,7/5/2015,4,2,388.0
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,0,0,Contract,97.5,0,0,Check-Out,7/5/2015,4,2,390.0
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,0,0,Transient,88.2,0,0,Check-Out,7/2/2015,1,2,88.2
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,110,0,Transient,107.42,0,0,Check-Out,7/2/2015,1,2,107.42
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,0,Transient,153.0,0,1,Check-Out,7/5/2015,4,2,612.0
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,97.29,0,1,Check-Out,7/6/2015,5,1,486.4500000000001
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,0,Transient,84.67,0,1,Check-Out,7/7/2015,6,2,508.02
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,99.67,0,1,Check-Out,7/7/2015,6,2,598.02
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,0,0,Contract,94.95,0,1,Check-Out,7/1/2015,7,2,664.65
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,63.6,1,0,Check-Out,7/8/2015,7,2,445.2
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,7/8/2015,7,2,556.5
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,107.0,0,2,Canceled,5/11/2015,7,2,749.0
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,94.0,0,0,Check-Out,7/8/2015,7,2,658.0
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,87.3,1,1,Check-Out,7/8/2015,7,2,611.1
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0,0,0,Transient,62.0,0,2,Check-Out,7/15/2015,14,1,868.0
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,63.86,0,0,Check-Out,7/16/2015,15,2,957.9
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,0,0,Transient,108.3,0,2,Canceled,5/29/2015,10,2,1083.0
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,0,0,Transient,65.5,0,0,Check-Out,7/8/2015,6,2,393.0
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,5/19/2015,4,3,435.2
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,6/19/2015,4,3,435.2
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,0,0,Check-Out,7/6/2015,4,2,392.0
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Check-Out,7/6/2015,4,3,435.2
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,0,Canceled,5/23/2015,4,3,435.2
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,137.0,0,1,Check-Out,7/7/2015,5,2,685.0
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Canceled,5/18/2015,5,2,589.05
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,7/7/2015,5,2,397.5
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,7/7/2015,5,2,615.0
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,2,Check-Out,7/9/2015,7,2,774.9
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,153.0,0,0,Canceled,6/2/2015,7,4,1071.0
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,7/9/2015,7,2,412.65
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,0,0,Transient-Party,82.88,0,2,Check-Out,7/9/2015,7,2,580.16
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,0,0,Contract,82.35,0,0,Check-Out,7/9/2015,7,2,576.4499999999999
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,0,0,Transient,119.35,0,1,Check-Out,7/9/2015,7,2,835.4499999999999
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,0,Transient-Party,67.58,0,2,Check-Out,7/9/2015,7,2,473.06
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,0,Contract,56.01,0,0,Check-Out,7/13/2015,11,2,616.11
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,0,0,Contract,110.7,0,0,Check-Out,7/16/2015,14,2,1549.8
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,88.2,1,0,Check-Out,7/3/2015,1,2,88.2
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,147.0,1,0,Check-Out,7/3/2015,1,2,147.0
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,1,2,Check-Out,7/3/2015,1,4,107.0
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,0,0,Transient,147.0,0,0,Check-Out,7/3/2015,1,2,147.0
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,0,0,Transient,117.9,0,2,Check-Out,7/3/2015,1,2,117.9
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,7/3/2015,1,2,123.0
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,0,0,Transient,98.0,0,1,Check-Out,7/4/2015,2,2,196.0
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Check-Out,7/4/2015,2,2,235.62
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,135.0,1,2,Check-Out,7/4/2015,2,2,270.0
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,0,Transient,133.0,0,1,Check-Out,7/5/2015,3,2,399.0
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,0,0,Contract,58.95,0,0,Check-Out,7/5/2015,3,2,176.85000000000002
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,136.33,0,2,Canceled,6/29/2015,3,2,408.99
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,0,0,Transient,153.0,1,0,Check-Out,7/5/2015,2,4,306.0
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,110.5,0,0,Check-Out,7/5/2015,2,2,221.0
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,0,Transient,97.0,0,0,Check-Out,7/5/2015,2,2,194.0
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,2,Canceled,6/16/2015,2,3,220.6
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,2,Canceled,6/18/2015,2,2,164.0
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,1,Canceled,7/3/2015,2,2,194.0
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,6/12/2015,2,2,147.6
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,0,Transient,91.5,0,0,Check-Out,7/5/2015,2,2,183.0
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,7/5/2015,2,2,229.0
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,0,Canceled,6/9/2015,2,3,220.6
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,90.9,1,0,Check-Out,7/6/2015,3,2,272.70000000000005
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,5/26/2015,3,2,369.0
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,122.0,0,0,Check-Out,7/7/2015,4,1,488.0
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,0,0,Transient,110.7,1,0,Check-Out,7/7/2015,4,2,442.8
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,85.86,0,0,Check-Out,7/11/2015,8,3,686.88
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,58.95,0,0,Check-Out,7/12/2015,9,2,530.5500000000001
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Canceled,5/19/2015,10,2,556.8
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Check-Out,7/13/2015,10,2,556.8
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,0,0,Transient,124.0,0,1,Canceled,6/9/2015,10,2,1240.0
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,0,Contract,111.15,0,0,Check-Out,7/13/2015,10,2,1111.5
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,0,Contract,134.73,0,0,Check-Out,7/17/2015,14,2,1886.22
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,0,0,Transient,92.45,0,1,Check-Out,7/17/2015,14,2,1294.3
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,108.73,0,2,Canceled,4/15/2015,21,3,2283.33
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,73.8,0,0,Check-Out,7/4/2015,1,2,73.8
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,1,2,Check-Out,7/4/2015,1,2,98.0
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,131.0,0,1,Check-Out,7/4/2015,1,2,131.0
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Check-Out,7/4/2015,1,2,123.0
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,7/4/2015,1,2,94.71
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,2,Check-Out,7/4/2015,1,2,123.0
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,1,Canceled,5/26/2015,2,2,246.0
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,6/29/2015,2,2,147.6
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,0,0,Transient,117.0,0,1,Canceled,5/13/2015,7,2,819.0
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,0,0,Transient,196.54,0,1,Check-Out,7/10/2015,7,3,1375.78
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,99.3,1,2,Check-Out,7/10/2015,7,3,695.1
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,90.95,0,0,Check-Out,7/10/2015,7,2,636.65
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,0,0,Transient,92.67,0,1,Check-Out,7/7/2015,3,2,278.01
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Transient,71.55,1,0,Check-Out,7/7/2015,3,2,214.65
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,96.49,0,2,Check-Out,7/10/2015,6,3,578.9399999999999
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,85.8,1,2,Check-Out,7/10/2015,6,2,514.8
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,96.3,0,1,Check-Out,7/11/2015,7,2,674.1
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,163.0,0,0,Canceled,6/9/2015,7,4,1141.0
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient,172.0,0,1,Canceled,5/20/2015,7,3,1204.0
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,1,Canceled,4/22/2015,7,2,774.9
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,7/11/2015,7,2,412.65
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,2,Check-Out,7/11/2015,7,3,516.6
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,2,Check-Out,7/11/2015,7,2,679.0
Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,0,0,Transient,139.0,0,2,Check-Out,7/11/2015,7,3,973.0
Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,0,0,Transient,67.24,0,0,Check-Out,7/11/2015,7,2,470.68
Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,116.5,0,1,Check-Out,7/12/2015,8,3,932.0
Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,96.3,0,1,Canceled,5/12/2015,8,2,770.4
Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,1,Check-Out,7/12/2015,8,2,984.0
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,0,0,Contract,71.55,0,1,Check-Out,7/14/2015,10,2,715.5
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,0,0,Contract,71.55,0,1,Check-Out,7/14/2015,10,2,715.5
Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,149.0,0,1,Check-Out,7/14/2015,10,3,1490.0
Resort Hotel,0,2,2015,July,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,0,0,Transient,163.0,1,0,Check-Out,7/5/2015,1,4,163.0
Resort Hotel,0,30,2015,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,7/5/2015,1,2,79.5
Resort Hotel,1,51,2015,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,105.0,0,0,Canceled,5/29/2015,1,1,105.0
Resort Hotel,1,36,2015,July,27,4,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250,0,0,Transient,123.0,0,0,No-Show,7/4/2015,1,1,123.0
Resort Hotel,1,73,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,2,Canceled,5/13/2015,1,2,73.8
Resort Hotel,1,33,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,113.0,0,0,Canceled,6/16/2015,1,2,113.0
Resort Hotel,0,32,2015,July,27,4,0,1,4,0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,0,0,0,Transient,0.0,0,1,Check-Out,7/5/2015,1,4,0.0
Resort Hotel,0,8,2015,July,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Check-Out,7/5/2015,1,2,123.0
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient-Party,73.8,1,1,Check-Out,7/6/2015,2,2,147.6
Resort Hotel,0,1,2015,July,27,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,7/6/2015,2,2,229.0
